Bore (mm),02-Series OD (mm),02-Series Width (mm),02-Series C10 (kN),02-Series C0 (kN),03-Series OD (mm),03-Series Width (mm),03-Series C10 (kN),03-Series C0 (kN)
25,52,15,16.8,8.8,62,17,28.6,15.0
30,62,16,22.4,12.0,72,19,36.9,20.0
35,72,17,31.9,17.6,80,21,44.6,27.1
40,80,18,41.8,24.0,90,23,56.1,32.5
45,85,19,44.0,25.5,100,25,72.1,45.4
50,90,20,45.7,27.5,110,27,88.0,52.0
55,100,21,56.1,34.0,120,29,102,67.2
60,110,22,64.4,43.1,130,31,123,76.5
65,120,23,76.5,51.2,140,33,138,85.0
70,125,24,79.2,51.2,150,35,151,102
75,130,25,93.1,63.2,160,37,183,125
80,140,26,106,69.4,170,39,190,125
85,150,28,119,78.3,180,41,212,149
90,160,30,142,100,190,43,242,160
95,170,32,165,112,200,45,264,189
100,180,34,183,125,215,47,303,220
110,200,38,229,167,240,50,391,304
120,215,40,260,183,260,55,457,340
130,230,40,270,193,280,58,539,408
140,250,42,319,240,300,62,682,454
150,270,45,446,260,320,65,781,502